0    0    0    0    0   -6    0    1   | 0.000   0.000  -0.167
0    0    0    4    0   -6    0    1   | 0.000  -1.500  -0.167
0    0    0    6    0   -6    0    1   | 0.000  -1.000  -0.167
0    0    0    7    0   -6    0    1   | 0.000  -0.857  -0.167
0    0    0    8    0   -6    0    1   | 0.000  -0.750  -0.167
0   -2    0    7    0   -6    0    1   |-3.500  -0.857  -0.167
0   -2    0    8    0   -6    0    1   |-4.000  -0.750  -0.167
0   -4    0    9    0   -6    0    1   |-2.250  -0.667  -0.167
0   -2    0    9    0   -6    0    1   |-4.500  -0.667  -0.167
0   -3    0    9    0   -6    0    1   |-3.000  -0.667  -0.167
0   -4    0   10    0   -6    0    1   |-2.500  -0.600  -0.167
