0    0  -11    0   55    0  -77    0   44    0  -11    0    1   |  0.000  -5.000  -1.400  -0.571  -0.250  -0.091
0    0  -14    0   59    0  -78    0   44    0  -11    0    1   |  0.000  -4.214  -1.322  -0.564  -0.250  -0.091
0    0  -15    0   59    0  -78    0   44    0  -11    0    1   |  0.000  -3.933  -1.322  -0.564  -0.250  -0.091
1    0  -15    0   59    0  -78    0   44    0  -11    0    1   |-15.000  -3.933  -1.322  -0.564  -0.250  -0.091
1    0  -17    0   60    0  -78    0   44    0  -11    0    1   |-17.000  -3.529  -1.300  -0.564  -0.250  -0.091
1    0  -21    0   70    0  -84    0   45    0  -11    0    1   |-21.000  -3.333  -1.200  -0.536  -0.244  -0.091
0    0    0    0    0    0    0    0    0    0  -11    0    1   |  0.000   0.000   0.000   0.000   0.000  -0.091
0    0    0    0    0    0    0    0    9    0  -11    0    1   |  0.000   0.000   0.000   0.000  -1.222  -0.091
0    0    0    0    0    0    0    0   16    0  -11    0    1   |  0.000   0.000   0.000   0.000  -0.688  -0.091
0    0    0    0    0    0    0    0   21    0  -11    0    1   |  0.000   0.000   0.000   0.000  -0.524  -0.091
0    0    0    0    0    0    0    0   24    0  -11    0    1   |  0.000   0.000   0.000   0.000  -0.458  -0.091
0    0    0    0    0    0    0    0   25    0  -11    0    1   |  0.000   0.000   0.000   0.000  -0.440  -0.091
0    0    0    0    0    0    0    0   17    0  -11    0    1   |  0.000   0.000   0.000   0.000  -0.647  -0.091
0    0    0    0    0    0    0    0   23    0  -11    0    1   |  0.000   0.000   0.000   0.000  -0.478  -0.091
0    0    0    0    0    0    0    0   27    0  -11    0    1   |  0.000   0.000   0.000   0.000  -0.407  -0.091
0    0    0    0    0    0    0    0   29    0  -11    0    1   |  0.000   0.000   0.000   0.000  -0.379  -0.091
0    0    0    0    0    0   -7    0   17    0  -11    0    1   |  0.000   0.000   0.000  -2.429  -0.647  -0.091
0    0    0    0    0    0   -7    0   23    0  -11    0    1   |  0.000   0.000   0.000  -3.286  -0.478  -0.091
0    0    0    0    0    0  -12    0   23    0  -11    0    1   |  0.000   0.000   0.000  -1.917  -0.478  -0.091
0    0    0    0    0    0  -12    0   28    0  -11    0    1   |  0.000   0.000   0.000  -2.333  -0.393  -0.091
0    0    0    0    0    0  -12    0   27    0  -11    0    1   |  0.000   0.000   0.000  -2.250  -0.407  -0.091
0    0    0    0    0    0  -15    0   27    0  -11    0    1   |  0.000   0.000   0.000  -1.800  -0.407  -0.091
0    0    0    0    0    0  -15    0   31    0  -11    0    1   |  0.000   0.000   0.000  -2.067  -0.355  -0.091
0    0    0    0    0    0  -15    0   29    0  -11    0    1   |  0.000   0.000   0.000  -1.933  -0.379  -0.091
0    0    0    0    0    0  -16    0   29    0  -11    0    1   |  0.000   0.000   0.000  -1.813  -0.379  -0.091
0    0    0    0    0    0  -16    0   32    0  -11    0    1   |  0.000   0.000   0.000  -2.000  -0.344  -0.091
0    0    0    0    0    0  -19    0   29    0  -11    0    1   |  0.000   0.000   0.000  -1.526  -0.379  -0.091
0    0    0    0    0    0  -20    0   28    0  -11    0    1   |  0.000   0.000   0.000  -1.400  -0.393  -0.091
0    0    0    0    0    0  -27    0   33    0  -11    0    1   |  0.000   0.000   0.000  -1.222  -0.333  -0.091
0    0    0    0    0    0  -24    0   31    0  -11    0    1   |  0.000   0.000   0.000  -1.292  -0.355  -0.091
0    0    0    0    0    0  -20    0   31    0  -11    0    1   |  0.000   0.000   0.000  -1.550  -0.355  -0.091
0    0    0    0    0    0  -31    0   35    0  -11    0    1   |  0.000   0.000   0.000  -1.129  -0.314  -0.091
