0   -6    0   35    0  -56    0   36    0  -10    0    1   | -5.833  -1.600  -0.643  -0.278  -0.100
0    0    0    0    0    0    0    0    0  -10    0    1   |  0.000   0.000   0.000   0.000  -0.100
0    0    0    0    0    0    0    8    0  -10    0    1   |  0.000   0.000   0.000  -1.250  -0.100
0    0    0    0    0    0    0   14    0  -10    0    1   |  0.000   0.000   0.000  -0.714  -0.100
0    0    0    0    0    0    0   18    0  -10    0    1   |  0.000   0.000   0.000  -0.556  -0.100
0    0    0    0    0    0    0   20    0  -10    0    1   |  0.000   0.000   0.000  -0.500  -0.100
0    0    0    0    0    0    0   15    0  -10    0    1   |  0.000   0.000   0.000  -0.667  -0.100
0    0    0    0    0    0    0   20    0  -10    0    1   |  0.000   0.000   0.000  -0.500  -0.100
0    0    0    0    0    0    0   23    0  -10    0    1   |  0.000   0.000   0.000  -0.435  -0.100
0    0    0    0    0    0    0   24    0  -10    0    1   |  0.000   0.000   0.000  -0.417  -0.100
0    0    0    0    0   -6    0   15    0  -10    0    1   |  0.000   0.000  -2.500  -0.667  -0.100
0    0    0    0    0   -6    0   20    0  -10    0    1   |  0.000   0.000  -3.333  -0.500  -0.100
0    0    0    0    0  -10    0   20    0  -10    0    1   |  0.000   0.000  -2.000  -0.500  -0.100
0    0    0    0    0  -10    0   24    0  -10    0    1   |  0.000   0.000  -2.400  -0.417  -0.100
0    0    0    0    0  -10    0   23    0  -10    0    1   |  0.000   0.000  -2.300  -0.435  -0.100
0    0    0    0    0  -12    0   23    0  -10    0    1   |  0.000   0.000  -1.917  -0.435  -0.100
0    0    0    0    0  -12    0   26    0  -10    0    1   |  0.000   0.000  -2.167  -0.385  -0.100
0    0    0    0    0  -12    0   24    0  -10    0    1   |  0.000   0.000  -2.000  -0.417  -0.100
0    0    0    0    0  -16    0   25    0  -10    0    1   |  0.000   0.000  -1.563  -0.400  -0.100
0    0    0    0    0  -16    0   24    0  -10    0    1   |  0.000   0.000  -1.500  -0.417  -0.100
0    0    0    0    0  -22    0   28    0  -10    0    1   |  0.000   0.000  -1.273  -0.357  -0.100
0    0    0    0    0  -18    0   26    0  -10    0    1   |  0.000   0.000  -1.444  -0.385  -0.100
0    0    0    0    0  -16    0   26    0  -10    0    1   |  0.000   0.000  -1.625  -0.385  -0.100
0    0    0    0    0  -24    0   29    0  -10    0    1   |  0.000   0.000  -1.208  -0.345  -0.100
0    0    0    0    0  -28    0   30    0  -10    0    1   |  0.000   0.000  -1.071  -0.333  -0.100
0    0    0    0    0  -18    0   27    0  -10    0    1   |  0.000   0.000  -1.500  -0.370  -0.100
0    0    0    4    0  -16    0   21    0  -10    0    1   |  0.000  -4.000  -1.313  -0.476  -0.100
0    0    0    6    0  -22    0   25    0  -10    0    1   |  0.000  -3.667  -1.136  -0.400  -0.100
0    0    0    4    0  -22    0   27    0  -10    0    1   |  0.000  -5.500  -1.227  -0.370  -0.100
0    0    0    6    0  -24    0   27    0  -10    0    1   |  0.000  -4.000  -1.125  -0.370  -0.100
0    0    0    8    0  -28    0   28    0  -10    0    1   |  0.000  -3.500  -1.000  -0.357  -0.100
0    0    0    6    0  -28    0   29    0  -10    0    1   |  0.000  -4.667  -1.036  -0.345  -0.100
