0    0    0    0    0    0   -7    0    1   |  0.000   0.000   0.000  -0.143
0    0    0    0    5    0   -7    0    1   |  0.000   0.000  -1.400  -0.143
0    0    0    0    8    0   -7    0    1   |  0.000   0.000  -0.875  -0.143
0    0    0    0    9    0   -7    0    1   |  0.000   0.000  -0.778  -0.143
0    0    0    0    9    0   -7    0    1   |  0.000   0.000  -0.778  -0.143
0    0    0    0   11    0   -7    0    1   |  0.000   0.000  -0.636  -0.143
0    0   -3    0    9    0   -7    0    1   |  0.000  -3.000  -0.778  -0.143
0    0   -3    0   11    0   -7    0    1   |  0.000  -3.667  -0.636  -0.143
0    0   -4    0   11    0   -7    0    1   |  0.000  -2.750  -0.636  -0.143
0    0   -4    0   12    0   -7    0    1   |  0.000  -3.000  -0.583  -0.143
1    0   -7    0   12    0   -7    0    1   | -7.000  -1.714  -0.583  -0.143
0    0   -7    0   13    0   -7    0    1   |  0.000  -1.857  -0.538  -0.143
0    0   -3    0   12    0   -7    0    1   |  0.000  -4.000  -0.583  -0.143
0    0   -5    0   12    0   -7    0    1   |  0.000  -2.400  -0.583  -0.143
0    0   -4    0   13    0   -7    0    1   |  0.000  -3.250  -0.538  -0.143
0    0   -5    0   13    0   -7    0    1   |  0.000  -2.600  -0.538  -0.143
0    0   -6    0   13    0   -7    0    1   |  0.000  -2.167  -0.538  -0.143
1    0   -7    0   13    0   -7    0    1   | -7.000  -1.857  -0.538  -0.143
1    0   -9    0   14    0   -7    0    1   | -9.000  -1.556  -0.500  -0.143
0    0   -7    0   14    0   -7    0    1   |  0.000  -2.000  -0.500  -0.143
0    0   -8    0   14    0   -7    0    1   |  0.000  -1.750  -0.500  -0.143
1    0   -8    0   14    0   -7    0    1   | -8.000  -1.750  -0.500  -0.143
1    0  -10    0   15    0   -7    0    1   |-10.000  -1.500  -0.467  -0.143
