0    0    0    0    0    0    0   -8    0    1   | 0.000   0.000   0.000  -0.125
0    0    0    0    0    6    0   -8    0    1   | 0.000   0.000  -1.333  -0.125
0    0    0    0    0   10    0   -8    0    1   | 0.000   0.000  -0.800  -0.125
0    0    0    0    0   12    0   -8    0    1   | 0.000   0.000  -0.667  -0.125
0    0    0    0    0   11    0   -8    0    1   | 0.000   0.000  -0.727  -0.125
0    0    0    0    0   14    0   -8    0    1   | 0.000   0.000  -0.571  -0.125
0    0    0    0    0   15    0   -8    0    1   | 0.000   0.000  -0.533  -0.125
0    0    0   -4    0   11    0   -8    0    1   | 0.000  -2.750  -0.727  -0.125
0    0    0   -4    0   14    0   -8    0    1   | 0.000  -3.500  -0.571  -0.125
0    0    0   -6    0   14    0   -8    0    1   | 0.000  -2.333  -0.571  -0.125
0    0    0   -6    0   16    0   -8    0    1   | 0.000  -2.667  -0.500  -0.125
0    0    0   -6    0   15    0   -8    0    1   | 0.000  -2.500  -0.533  -0.125
0    0    0  -10    0   17    0   -8    0    1   | 0.000  -1.700  -0.471  -0.125
0    0    0   -8    0   16    0   -8    0    1   | 0.000  -2.000  -0.500  -0.125
0    2    0  -10    0   15    0   -8    0    1   |-5.000  -1.500  -0.533  -0.125
0    2    0  -12    0   17    0   -8    0    1   |-6.000  -1.417  -0.471  -0.125
0    0    0  -12    0   18    0   -8    0    1   | 0.000  -1.500  -0.444  -0.125
0    5    0  -16    0   18    0   -8    0    1   |-3.200  -1.125  -0.444  -0.125
0    0    0   -4    0   15    0   -8    0    1   | 0.000  -3.750  -0.533  -0.125
0    0    0   -7    0   15    0   -8    0    1   | 0.000  -2.143  -0.533  -0.125
0    0    0   -7    0   17    0   -8    0    1   | 0.000  -2.429  -0.471  -0.125
0    0    0   -6    0   17    0   -8    0    1   | 0.000  -2.833  -0.471  -0.125
0    0    0   -8    0   17    0   -8    0    1   | 0.000  -2.125  -0.471  -0.125
0    0    0   -9    0   17    0   -8    0    1   | 0.000  -1.889  -0.471  -0.125
0    0    0  -10    0   17    0   -8    0    1   | 0.000  -1.700  -0.471  -0.125
0    0    0  -10    0   18    0   -8    0    1   | 0.000  -1.800  -0.444  -0.125
0    2    0  -11    0   17    0   -8    0    1   |-5.500  -1.545  -0.471  -0.125
0    3    0  -14    0   18    0   -8    0    1   |-4.667  -1.286  -0.444  -0.125
0    2    0  -14    0   19    0   -8    0    1   |-7.000  -1.357  -0.421  -0.125
0    2    0  -12    0   18    0   -8    0    1   |-6.000  -1.500  -0.444  -0.125
0    2    0  -15    0   19    0   -8    0    1   |-7.500  -1.267  -0.421  -0.125
0    4    0  -16    0   19    0   -8    0    1   |-4.000  -1.188  -0.421  -0.125
0    0    0  -10    0   18    0   -8    0    1   | 0.000  -1.800  -0.444  -0.125
0    0    0  -12    0   18    0   -8    0    1   | 0.000  -1.500  -0.444  -0.125
0    0    0  -12    0   19    0   -8    0    1   | 0.000  -1.583  -0.421  -0.125
0    0    0  -13    0   19    0   -8    0    1   | 0.000  -1.462  -0.421  -0.125
0    2    0  -12    0   18    0   -8    0    1   |-6.000  -1.500  -0.444  -0.125
0    3    0  -14    0   19    0   -8    0    1   |-4.667  -1.357  -0.421  -0.125
0    2    0  -13    0   19    0   -8    0    1   |-6.500  -1.462  -0.421  -0.125
0    2    0  -14    0   19    0   -8    0    1   |-7.000  -1.357  -0.421  -0.125
0    3    0  -15    0   19    0   -8    0    1   |-5.000  -1.267  -0.421  -0.125
0    4    0  -18    0   20    0   -8    0    1   |-4.500  -1.111  -0.400  -0.125
0    5    0  -18    0   20    0   -8    0    1   |-3.600  -1.111  -0.400  -0.125
0    2    0  -16    0   20    0   -8    0    1   |-8.000  -1.250  -0.400  -0.125
0    3    0  -17    0   20    0   -8    0    1   |-5.667  -1.176  -0.400  -0.125
0    4    0  -17    0   20    0   -8    0    1   |-4.250  -1.176  -0.400  -0.125
0    5    0  -20    0   21    0   -8    0    1   |-4.000  -1.050  -0.381  -0.125
